"COMPANY NAME","SECURITY TYPE","ISSUE PRICE","Symbol","ISSUE START DATE","ISSUE END DATE","PRICE RANGE","DATE OF LISTING"
"Samay Project Services Limited","SME","34","SAMAY","16-JUN-2025","18-JUN-2025","Rs.32 to RS. 34","23-JUN-2025"
"Oswal Pumps Limited","EQ","   614","OSWALPUMPS","13-JUN-2025","17-JUN-2025","Rs.584 to Rs.614","20-JUN-2025"
"Monolithisch India Limited","SME","143","MONOLITH","12-JUN-2025","16-JUN-2025","Rs.135 to RS. 143","19-JUN-2025"
"Jainik Power Cables Limited","SME","110","JAINIK","10-JUN-2025","12-JUN-2025","Rs.100 to RS. 110","17-JUN-2025"
"Sacheerome Limited","SME","102","SACHEEROME","09-JUN-2025","11-JUN-2025","Rs.96 to RS. 102","16-JUN-2025"
"Ganga Bath Fittings Limited","SME","49","GANGABATH","04-JUN-2025","06-JUN-2025","Rs.46 to RS. 49","11-JUN-2025"
"Scoda Tubes Limited","BE","   140","SCODATUBES","28-MAY-2025","30-MAY-2025","Rs.130 Rs.140","04-JUN-2025"
"Scoda Tubes Limited","BE","   140","SCODATUBES","28-MAY-2025","30-MAY-2025","Rs.130 Rs.140","04-JUN-2025"
"Neptune Petrochemicals Limited","SME","122","NEPTUNE","28-MAY-2025","30-MAY-2025","Rs.115 to RS. 122","04-JUN-2025"
"N R Vandana Tex Industries Limited","SME","45","NRVANDANA","28-MAY-2025","30-MAY-2025","Rs.42 to Rs.45","04-JUN-2025"
"Prostarm Info Systems Limited","BE","   105","PROSTARM","27-MAY-2025","29-MAY-2025","Rs.95 to Rs.105","03-JUN-2025"
"Prostarm Info Systems Limited","BE","   105","PROSTARM","27-MAY-2025","29-MAY-2025","Rs.95 to Rs.105","03-JUN-2025"
"Blue Water Logistics Limited","SME","135","BLUEWATER","27-MAY-2025","29-MAY-2025","Rs.132 to Rs.135","03-JUN-2025"
"Nikita Papers Limited","SME","104","NIKITA","27-MAY-2025","29-MAY-2025","Rs.95 to RS. 104","03-JUN-2025"
"Schloss Bangalore Limited","EQ","   435","THELEELA","26-MAY-2025","28-MAY-2025","Rs.413 to Rs.435","02-JUN-2025"
"Aegis Vopak Terminals Limited","N0","######","AVTL29","26-MAY-2025","28-MAY-2025","Rs.223 to Rs.235","08-JAN-2026"
"Aegis Vopak Terminals Limited","N0","######","AVTL29","26-MAY-2025","28-MAY-2025","Rs.223 to Rs.235","08-JAN-2026"
"Belrise Industries Limited","EQ","    90","BELRISE","21-MAY-2025","23-MAY-2025","Rs.85 to Rs.90","28-MAY-2025"
"Dar Credit & Capital Limited","SME","100000","1225DCCL27","21-MAY-2025","23-MAY-2025","Rs.57 to Rs.60","16-DEC-2025"
"Borana Weaves Limited","BE","   216","BORANA","20-MAY-2025","22-MAY-2025","Rs.205 to Rs.216","27-MAY-2025"
"Borana Weaves Limited","BE","   216","BORANA","20-MAY-2025","22-MAY-2025","Rs.205 to Rs.216","27-MAY-2025"
"Accretion Pharmaceuticals Limited","SME","101","ACCPL","14-MAY-2025","16-MAY-2025","Rs.96 to Rs.101","21-MAY-2025"
"Integrity Infrabuild Developers Limited","SME","100","INTEGRITY","13-MAY-2025","15-MAY-2025","Rs.100","20-MAY-2025"
"Virtual Galaxy Infotech Limited","SME","142","VGINFOTECH","09-MAY-2025","14-MAY-2025","Rs.135 to Rs.142","19-MAY-2025"
"Arunaya Organics Limited","SME","58","ARUNAYA","29-APR-2025","02-MAY-2025","Rs.55 TO RS. 58","07-MAY-2025"
"Ather Energy Limited","EQ","   321","ATHERENERG","28-APR-2025","30-APR-2025","Rs.304 to Rs.321","06-MAY-2025"
"Iware Supplychain Services Limited","SME","95","IWARE","28-APR-2025","30-APR-2025","Rs.95","06-MAY-2025"
"Tankup Engineers Limited","SME","140","TANKUP","23-APR-2025","25-APR-2025","Rs.133 TO RS. 140","30-APR-2025"
"IIFL Finance Limited","N0","######","930IIFL35A","07-APR-2025","11-APR-2025","Rs.1000","02-JAN-2026"
"IIFL Finance Limited","N0","######","930IIFL35A","07-APR-2025","11-APR-2025","Rs.1000","02-JAN-2026"
"UGRO Capital Limited","DEBT","  1000","UGROD6","03-APR-2025","17-APR-2025","Rs.1000","28-APR-2025"
"UGRO Capital Limited","DEBT","  1000","UGROD6","03-APR-2025","17-APR-2025","Rs.1000","28-APR-2025"
"SMC Global Securities Limited","DEBT","-","SMCG02","02-APR-2025","17-APR-2025","Rs.1000","-"
"SMC Global Securities Limited","DEBT","-","SMCG02","02-APR-2025","17-APR-2025","Rs.1000","-"
"Shri Ahimsa Naturals Limited","SME","119","SHRIAHIMSA","25-MAR-2025","27-MAR-2025","Rs.113 to Rs.119","02-APR-2025"
"ATC Energies System Limited","SME","118","ATCENERGY","25-MAR-2025","27-MAR-2025","Rs.112 to Rs.118","02-APR-2025"
"Active Infrastructures Limited","SME","181","ACTIVEINFR","21-MAR-2025","25-MAR-2025","Rs.178 to Rs.181","28-MAR-2025"
"Rapid Fleet Management Services Limited","SME","192","RAPIDFLEET","21-MAR-2025","25-MAR-2025","Rs.183 to Rs.192","28-MAR-2025"
"Grand Continent Hotels Limited","SME","113","GCHOTELS","20-MAR-2025","24-MAR-2025","Rs.107 to Rs.113","27-MAR-2025"
"Divine Hira Jewellers Limited","SME","90","DIVINEHIRA","17-MAR-2025","19-MAR-2025","Rs.90","24-MAR-2025"
"Balaji Phosphates Limited","SME","70","BALAJIPHOS","28-FEB-2025","04-MAR-2025","Rs.66 to Rs.70","07-MAR-2025"
"Sammaan Capital Limited","N0","######","975SCL35","27-FEB-2025","12-MAR-2025","Rs.1000","20-JAN-2026"
"Sammaan Capital Limited","N0","######","975SCL35","27-FEB-2025","12-MAR-2025","Rs.1000","20-JAN-2026"
"HP Telecom India Limited","SME","108","HPTL","20-FEB-2025","24-FEB-2025","Rs.108","28-FEB-2025"
"Quality Power Electrical Equipments Limited","EQ","   425","QPOWER","14-FEB-2025","18-FEB-2025","Rs.401 to Rs.425","24-FEB-2025"
"Tejas Cargo India Limited","SME","168","TEJASCARGO","14-FEB-2025","18-FEB-2025","Rs.160 to Rs.168","24-FEB-2025"
"Royal Arc Electrodes Limited","SME","120","ROYALARC","14-FEB-2025","18-FEB-2025","Rs.114 to Rs.120","24-FEB-2025"
"Hexaware Technologies Limited","EQ","   708","HEXT","12-FEB-2025","14-FEB-2025","Rs.674 to Rs.708","19-FEB-2025"
"Voler Car Limited","SME","90","VOLERCAR","12-FEB-2025","14-FEB-2025","Rs.85 to Rs.90","19-FEB-2025"
"P S Raj Steels Limited","SME","140","PSRAJ","12-FEB-2025","14-FEB-2025","Rs.132 to Rs.140","19-FEB-2025"
"Maxvolt Energy Industries Limited","SME","180","MAXVOLT","12-FEB-2025","14-FEB-2025","Rs.171 to Rs.180","19-FEB-2025"
"Ajax Engineering Limited","EQ","   629","AJAXENGG","10-FEB-2025","12-FEB-2025","Rs.599 to Rs.629","17-FEB-2025"
"Chandan Healthcare Limited","SME","159","CHANDAN","10-FEB-2025","12-FEB-2025","Rs.151 to Rs.159","17-FEB-2025"
"Eleganz Interiors Limited","SME","130","ELGNZ","07-FEB-2025","11-FEB-2025","Rs.123 to Rs.130","14-FEB-2025"
"Readymix Construction Machinery Limited","SME","123","READYMIX","06-FEB-2025","10-FEB-2025","Rs.121 to Rs.123","13-FEB-2025"
"Ken Enterprises Limited","SME","94","KEN","05-FEB-2025","07-FEB-2025","Rs.94","12-FEB-2025"
"Chamunda Electrical Limited","SME","50","CHAMUNDA","04-FEB-2025","06-FEB-2025","Rs.47 to Rs.50","11-FEB-2025"
