"COMPANY NAME","SECURITY TYPE","ISSUE PRICE","Symbol","ISSUE START DATE","ISSUE END DATE","PRICE RANGE","DATE OF LISTING"
"B.A.G. Convergence Limited","SME","87","BAGDIGITAL","30-SEP-2025","03-OCT-2025","RS.82 to RS.87","08-OCT-2025"
"Munish Forge Limited","SME","96","MUNISH","30-SEP-2025","03-OCT-2025","RS.91 to RS.96","08-OCT-2025"
"Sheel Biotech Limited","SME","63","SHEEL","30-SEP-2025","03-OCT-2025","RS.59 to RS.63","08-OCT-2025"
"Om Freight Forwarders Limited","BE","   135","OMFREIGHT","29-SEP-2025","03-OCT-2025","Rs.128 to Rs.135","08-OCT-2025"
"Glottis Limited","EQ","   129","GLOTTIS","29-SEP-2025","01-OCT-2025","Rs.120 to Rs.129","07-OCT-2025"
"Fabtech Technologies Limited","BE","   191","FABTECH","29-SEP-2025","01-OCT-2025","Rs.181 to Rs.191","07-OCT-2025"
"Om Freight Forwarders Limited","BE","   135","OMFREIGHT","29-SEP-2025","03-OCT-2025","Rs.128 to Rs.135","08-OCT-2025"
"Fabtech Technologies Limited","BE","   191","FABTECH","29-SEP-2025","01-OCT-2025","Rs.181 to Rs.191","07-OCT-2025"
"Suba Hotels Limited","SME","111","SUBAHOTELS","29-SEP-2025","01-OCT-2025","RS.105 to RS.111","07-OCT-2025"
"Vijaypd Ceutical Limited","SME","35","VIJAYPD","29-SEP-2025","01-OCT-2025","RS.35","07-OCT-2025"
"Pace Digitek Limited","EQ","   219","PACEDIGITK","26-SEP-2025","30-SEP-2025","Rs.208 to Rs.219","06-OCT-2025"
"Manas Polymers and Energies Limited","SME","81","MPEL","26-SEP-2025","30-SEP-2025","RS.76 to RS.81","06-OCT-2025"
"Jinkushal Industries Limited","BE","   121","JKIPL","25-SEP-2025","29-SEP-2025","Rs.115 to Rs.121","03-OCT-2025"
"TruAlt Bioenergy Limited","EQ","   496","TRUALT","25-SEP-2025","29-SEP-2025","Rs.472 to Rs.496","03-OCT-2025"
"Jinkushal Industries Limited","BE","   121","JKIPL","25-SEP-2025","29-SEP-2025","Rs.115 to Rs.121","03-OCT-2025"
"Jain Resource Recycling Limited","EQ","   232","JAINREC","24-SEP-2025","26-SEP-2025","Rs.220 to Rs.232","01-OCT-2025"
"BMW Ventures Limited","BE","    99","BMWVENTLTD","24-SEP-2025","26-SEP-2025","Rs.94 to Rs.99","01-OCT-2025"
